Geography,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units
Albany,Weekly,1/11/21 0:00,Conventional,1.194754605,150112.17,17074.48,100955.99,39.59,32042.12,,,
Atlanta,Weekly,1/11/21 0:00,Conventional,0.812572636,892386.79,542057.87,146831.96,32.11,203464.85,,,
Baltimore/Washington,Weekly,1/11/21 0:00,Conventional,1.073194045,1203423.07,402341.66,365970.12,2939.24,432172.05,,,
Birmingham/Montgomery,Weekly,1/11/21 0:00,Conventional,0.75731009,402306.65,263020.12,17855.75,10.39,121420.38,,,
Boise,Weekly,1/11/21 0:00,Conventional,1.033495979,138962.53,57581.95,34044.86,15334.98,32000.74,,,
Boston,Weekly,1/11/21 0:00,Conventional,1.270214559,708477.81,38230.12,494643.01,108.76,175495.92,,,
Buffalo/Rochester,Weekly,1/11/21 0:00,Conventional,0.952804144,268850.26,61042.64,65974.1,2867.05,138966.47,,,
Charlotte,Weekly,1/11/21 0:00,Conventional,0.862844233,469551.65,222579.19,51897.36,3641.7,191433.41,,,
Chicago,Weekly,1/11/21 0:00,Conventional,0.981541354,1280576.06,589428.73,271936.08,138723.03,280488.22,,,
Cincinnati/Dayton,Weekly,1/11/21 0:00,Conventional,0.889851564,347087.91,141141.39,160509.52,3476.21,41960.8,,,
Columbus,Weekly,1/11/21 0:00,Conventional,0.865220122,287083.54,128354.14,101103.09,419.35,57206.96,,,
Dallas/Ft. Worth,Weekly,1/11/21 0:00,Conventional,0.618347795,1900546.17,806118.35,388064.58,14736.02,691627.22,,,
Denver,Weekly,1/11/21 0:00,Conventional,0.962055587,1131895.09,304982.65,530575.81,22014.21,274322.42,,,
Detroit,Weekly,1/11/21 0:00,Conventional,0.930550857,518854.02,188562.82,140392.56,55827.44,134071.2,,,
Grand Rapids,Weekly,1/11/21 0:00,Conventional,1.180101152,228856.9,43861.78,53469.06,65026.15,66499.91,,,
Harrisburg/Scranton,Weekly,1/11/21 0:00,Conventional,0.970587588,445060.61,190537.09,110988.98,199.87,143334.67,,,
Hartford/Springfield,Weekly,1/11/21 0:00,Conventional,1.1765372,436269.74,59269.65,270517.28,405.87,106076.94,,,
Houston,Weekly,1/11/21 0:00,Conventional,0.669072229,1293665.74,617565.9,383999.77,10753.56,281346.51,,,
Indianapolis,Weekly,1/11/21 0:00,Conventional,0.826338001,298760.17,113247.2,111256.48,2215.22,72041.28,,,
Jacksonville,Weekly,1/11/21 0:00,Conventional,0.792363166,269329.4,181066.25,9147.82,88.96,79026.37,,,
Las Vegas,Weekly,1/11/21 0:00,Conventional,0.861826136,424891.8,93588.65,191545.55,72.03,139685.58,,,
Los Angeles,Weekly,1/11/21 0:00,Conventional,1.100506702,3474667.2,1568356.45,452535.45,727605.68,726169.61,,,
Louisville,Weekly,1/11/21 0:00,Conventional,0.903119458,148814.16,60316.83,49341.03,44.2,39112.11,,,
Miami/Ft. Lauderdale,Weekly,1/11/21 0:00,Conventional,0.797533807,1195152.43,809079.34,43659.81,1798.32,340614.97,,,
Nashville,Weekly,1/11/21 0:00,Conventional,0.79727004,351731.17,198540.02,61064.62,166.79,91959.74,,,
Northern New England,Weekly,1/11/21 0:00,Conventional,1.121406572,553398.75,28849.71,422592.76,68.11,101888.16,,,
New Orleans/Mobile,Weekly,1/11/21 0:00,Conventional,0.699394627,356702.57,189513.6,22007.94,50.84,145130.19,,,
New York,Weekly,1/11/21 0:00,Conventional,1.059871546,2409532.25,296305.46,1364416.79,16703.18,732106.82,,,
Orlando,Weekly,1/11/21 0:00,Conventional,0.751187481,724813.56,458134.88,19687.01,138.57,246853.1,,,
Peoria/Springfield,Weekly,1/11/21 0:00,Conventional,0.815375971,189091.49,92328.14,42918.99,3228.46,50615.89,,,
Philadelphia,Weekly,1/11/21 0:00,Conventional,0.913780357,830538.55,217332.91,294805.45,277.4,318122.8,,,
Phoenix/Tucson,Weekly,1/11/21 0:00,Conventional,0.712007088,1464065.74,622988.27,651156.83,4140.22,185780.42,,,
Pittsburgh,Weekly,1/11/21 0:00,Conventional,0.934601066,200410.38,110136.3,22836.52,16.96,67420.59,,,
Portland,Weekly,1/11/21 0:00,Conventional,1.02546979,777970.6,303235.64,359591.88,30529.14,84613.95,,,
