"Week Ending","Year","Status","Total Volume","California","Chile","Mexico","Peru","Colombia","Dominican Republic"
"Jan 7, 2024","2024","Actual","56,146,272","0","150,000","55,151,272","0","590,000","255,000"
"Jan 14, 2024","2024","Actual","66,948,382","0","100,000","65,891,883","0","693,498","263,000"
"Jan 21, 2024","2024","Actual","65,251,442","23,551","50,000","64,305,412","0","476,477","396,000"
"Jan 28, 2024","2024","Actual","60,669,231","59,745","0","59,147,417","0","1,165,068","297,000"
"Feb 4, 2024","2024","Actual","60,439,648","156,540","0","58,757,326","0","1,217,781","308,000"
"Feb 11, 2024","2024","Actual","48,001,114","262,425","0","47,225,234","0","249,454","264,000"
"Feb 18, 2024","2024","Actual","61,777,160","907,388","0","58,666,258","0","2,036,513","167,000"
"Feb 25, 2024","2024","Actual","60,282,161","289,131","0","59,144,513","0","716,516","132,000"
"Mar 3, 2024","2024","Actual","53,665,063","1,327,020","0","51,852,020","52,822","346,200","87,000"
"Mar 10, 2024","2024","Actual","61,444,864","1,859,143","0","59,488,565","0","52,954","44,200"
"Mar 17, 2024","2024","Actual","68,546,716","3,776,984","0","64,684,732","0","0","85,000"
"Mar 24, 2024","2024","Actual","65,093,032","5,685,112","0","59,186,350","141,569","0","80,000"
"Mar 31, 2024","2024","Actual","54,769,338","7,663,572","0","46,855,004","142,735","108,026","0"
"Apr 7, 2024","2024","Actual","63,557,477","7,086,912","0","55,770,978","237,550","462,035","0"
"Apr 14, 2024","2024","Actual","62,781,621","11,245,154","0","51,010,606","331,854","194,007","0"
"Apr 21, 2024","2024","Actual","70,239,353","13,312,927","0","54,195,460","693,897","2,037,068","0"
"Apr 28, 2024","2024","Actual","69,678,090","14,365,526","0","52,276,516","610,965","2,425,082","0"
"May 5, 2024","2024","Actual","56,366,901","13,238,426","0","40,051,151","943,251","2,134,072","0"
"May 12, 2024","2024","Actual","59,022,977","14,048,666","0","40,017,800","1,464,392","3,492,118","0"
"May 19, 2024","2024","Actual","53,964,033","15,494,565","0","33,398,482","2,548,900","2,522,085","0"
"May 26, 2024","2024","Actual","55,109,423","17,535,877","0","32,486,978","1,788,456","3,298,111","0"
"Jun 2, 2024","2024","Actual","52,114,035","12,488,684","0","32,391,756","3,595,971","3,637,623","0"
"Jun 9, 2024","2024","Actual","57,663,257","15,242,930","0","33,010,907","5,723,294","3,686,124","0"
"Jun 16, 2024","2024","Actual","54,422,466","16,849,650","0","27,080,444","7,291,263","3,201,108","0"
"Jun 23, 2024","2024","Actual","42,269,369","19,127,552","0","10,535,474","8,979,923","3,540,619","85,800"
"Jun 30, 2024","2024","Actual","59,119,560","21,088,040","0","24,677,450","10,315,469","2,958,600","80,000"
"Jul 7, 2024","2024","Actual","58,420,934","16,572,446","0","27,385,237","11,608,168","2,425,082","430,000"
"Jul 14, 2024","2024","Actual","60,097,588","16,880,943","0","24,067,955","14,678,689","3,930,000","540,000"
"Jul 21, 2024","2024","Actual","56,295,588","13,925,369","0","23,791,041","14,019,177","4,390,000","170,000"
"Jul 28, 2024","2024","Actual","51,705,742","12,316,896","0","22,120,818","14,268,027","2,960,000","40,000"
"Aug 4, 2024","2024","Actual","56,493,180","11,567,649","0","27,901,260","14,474,270","2,280,000","270,000"
"Aug 11, 2024","2024","Actual","58,705,252","12,446,470","0","33,631,900","10,346,881","2,070,000","210,000"
"Aug 18, 2024","2024","Actual","58,109,744","12,655,420","50,000","35,786,496","7,367,827","1,790,000","460,000"
"Aug 25, 2024","2024","Actual","56,803,856","11,247,875","100,000","39,415,039","4,710,941","810,000","520,000"
"Sep 1, 2024","2024","Actual","54,080,014","9,372,390","756,152","40,288,121","3,122,340","291,009","250,000"
"Sep 8, 2024","2024","Actual","53,100,451","5,729,078","1,307,793","43,011,859","2,461,720","290,000","300,000"
"Sep 15, 2024","2024","Actual","51,994,501","3,281,983","1,391,780","45,018,815","1,849,413","242,508","210,000"
"Sep 22, 2024","2024","Actual","46,990,964","2,482,685","1,566,298","40,490,783","1,707,190","194,006","550,000"
"Sep 29, 2024","2024","Actual","54,593,072","1,622,865","1,338,195","50,689,177","324,326","242,508","376,000"
"Oct 6, 2024","2024","Actual","49,338,468","1,340,275","1,300,000","45,834,270","47,407","436,514","380,000"
"Oct 13, 2024","2024","Actual","66,270,681","1,203,050","1,250,000","63,287,630","0","190,000","340,000"
"Oct 20, 2024","2024","Actual","60,338,177","258,650","1,100,000","58,679,526","0","0","300,000"
"Oct 27, 2024","2024","Actual","54,449,209","0","44,445","53,884,764","0","150,000","370,000"
"Nov 3, 2024","2024","Actual","49,652,385","0","974,710","47,197,674","0","840,000","640,000"
"Nov 10, 2024","2024","Actual","51,339,514","0","552,941","49,926,572","0","690,000","170,000"
"Nov 17, 2024","2024","Actual","54,903,915","0","647,744","52,556,170","0","1,100,000","600,000"
"Nov 24, 2024","2024","Actual","47,218,934","0","770,000","45,038,934","0","1,030,000","380,000"
"Dec 1, 2024","2024","Projection","53,253,294","2,100","0","52,814,679","0","436,514","N/A"
"Dec 8, 2024","2024","Projection","56,230,966","0","0","55,697,448","0","533,518","N/A"
"Dec 15, 2024","2024","Projection","55,438,538","7,900","0","54,945,622","0","485,016","N/A"
"Dec 22, 2024","2024","Projection","59,114,843","3,900","0","58,577,425","0","533,518","N/A"
"Dec 29, 2024","2024","Projection","51,349,125","5,900","0","50,858,208","0","485,016","N/A"
