"Week Ending","Year","Status","Total Volume","California","Chile","Mexico","Peru","Colombia","Dominican Republic"
"Jan 5, 2025","2025","Projection","61,071,580","0","0","61,071,580","0","0","0"
"Jan 12, 2025","2025","Projection","69,033,250","0","0","69,033,250","0","0","0"
"Jan 19, 2025","2025","Projection","70,805,073","0","0","70,805,073","0","0","0"
"Jan 26, 2025","2025","Projection","66,249,668","0","0","66,249,667","0","0","0"
"Feb 2, 2025","2025","Projection","57,299,251","0","0","57,299,251","0","0","0"
"Feb 9, 2025","2025","Projection","52,375,567","0","0","52,375,566","0","0","0"
"Feb 16, 2025","2025","Projection","57,047,613","0","0","57,047,613","0","0","0"
"Feb 23, 2025","2025","Projection","58,547,863","0","0","58,547,862","0","0","0"
"Mar 2, 2025","2025","Projection","60,910,041","0","0","60,910,040","0","0","0"
"Mar 9, 2025","2025","Projection","64,204,164","0","0","64,204,164","0","0","0"
"Mar 16, 2025","2025","Projection","59,526,190","0","0","59,526,189","0","0","0"
"Mar 23, 2025","2025","Projection","55,644,143","0","0","55,644,143","0","0","0"
"Mar 30, 2025","2025","Projection","60,059,339","0","0","60,059,338","0","0","0"
"Apr 6, 2025","2025","Projection","61,950,675","0","0","61,950,674","0","0","0"
"Apr 13, 2025","2025","Projection","64,929,171","0","0","64,929,170","0","0","0"
"Apr 20, 2025","2025","Projection","45,859,322","0","0","45,859,322","0","0","0"
"Apr 27, 2025","2025","Projection","55,091,321","0","0","55,091,320","0","0","0"
"May 4, 2025","2025","Projection","47,991,798","0","0","47,991,798","0","0","0"
"May 11, 2025","2025","Projection","51,113,483","0","0","51,113,482","0","0","0"
"May 18, 2025","2025","Projection","48,801,312","0","0","48,801,312","0","0","0"
"May 25, 2025","2025","Projection","45,873,572","0","0","45,873,572","0","0","0"
"Jun 1, 2025","2025","Projection","44,136,054","0","0","44,136,054","0","0","0"
"Jun 8, 2025","2025","Projection","40,990,659","0","0","40,990,659","0","0","0"
"Jun 15, 2025","2025","Projection","41,412,873","0","0","41,412,873","0","0","0"
"Jun 22, 2025","2025","Projection","40,452,118","0","0","40,452,118","0","0","0"
"Jun 29, 2025","2025","Projection","37,873,240","0","0","37,873,240","0","0","0"
"Jul 6, 2025","2025","Projection","0","0","0","N/A","0","0","0"
"Jul 13, 2025","2025","Projection","0","0","0","N/A","0","0","0"
"Jul 20, 2025","2025","Projection","0","0","0","N/A","0","0","0"
"Jul 27, 2025","2025","Projection","0","0","0","N/A","0","0","0"
"Aug 3, 2025","2025","Projection","0","0","0","N/A","0","0","0"
"Aug 10, 2025","2025","Projection","0","0","0","N/A","0","0","0"
"Aug 17, 2025","2025","Projection","0","0","0","N/A","0","0","0"
"Aug 24, 2025","2025","Projection","0","0","0","N/A","0","0","0"
"Aug 31, 2025","2025","Projection","0","0","0","N/A","0","0","0"
"Sep 7, 2025","2025","Projection","0","0","0","N/A","0","0","0"
"Sep 14, 2025","2025","Projection","0","0","0","N/A","0","0","0"
"Sep 21, 2025","2025","Projection","0","0","0","N/A","0","0","0"
"Sep 28, 2025","2025","Projection","0","0","0","N/A","0","0","0"
"Oct 5, 2025","2025","Projection","0","0","0","N/A","0","0","0"
"Oct 12, 2025","2025","Projection","0","0","0","N/A","0","0","0"
"Oct 19, 2025","2025","Projection","0","0","0","N/A","0","0","0"
"Oct 26, 2025","2025","Projection","0","0","0","N/A","0","0","0"
"Nov 2, 2025","2025","Projection","0","0","0","N/A","0","0","0"
"Nov 9, 2025","2025","Projection","0","0","0","N/A","0","0","0"
"Nov 16, 2025","2025","Projection","0","0","0","N/A","0","0","0"
"Nov 23, 2025","2025","Projection","0","0","0","N/A","0","0","0"
"Nov 30, 2025","2025","Projection","0","0","0","N/A","0","0","0"
"Dec 7, 2025","2025","Projection","0","0","0","N/A","0","0","0"
"Dec 14, 2025","2025","Projection","0","0","0","N/A","0","0","0"
"Dec 21, 2025","2025","Projection","0","0","0","N/A","0","0","0"
"Dec 28, 2025","2025","Projection","0","0","0","N/A","0","0","0"
