Date,AveragePrice,TotalVolume,plu4046,plu4225,plu4770,TotalBags,SmallBags,LargeBags,XLargeBags,type,region
2022-01-10,1.197219135,128471.98,36985.61,63879.66,985.34,26621.38,,,,conventional,Albany
2022-01-10,1.720818247,4070.15,326.14,416.71,0.0,3327.3,,,,organic,Albany
2022-01-10,1.191186617,778520.14,481850.11,151408.85,2196.57,143064.61,,,,conventional,Atlanta
2022-01-10,1.793456818,30088.87,3111.36,13858.49,0.0,13119.02,,,,organic,Atlanta
2022-01-10,1.263885667,1038853.67,336659.66,216044.44,10179.84,475969.73,,,,conventional,BaltimoreWashington
2022-01-10,1.754326356,62635.0,1177.94,7762.94,9.22,53684.91,,,,organic,BaltimoreWashington
2022-01-10,1.124395887,319031.21,195310.38,29546.78,3096.66,91077.39,,,,conventional,BirminghamMontgomery
2022-01-10,1.510286148,13063.56,2234.78,900.68,0.0,9928.1,,,,organic,BirminghamMontgomery
2022-01-10,1.332068863,114929.11,48607.05,24612.03,9845.4,31864.63,,,,conventional,Boise
2022-01-10,1.987093023,7310.39,1498.14,2316.56,1.22,3494.47,,,,organic,Boise
2022-01-10,1.542009814,640435.03,141688.65,339888.27,3291.19,155566.92,,,,conventional,Boston
2022-01-10,1.829078057,37018.87,369.14,2971.33,0.0,33678.39,,,,organic,Boston
2022-01-10,1.363746305,194397.29,25920.55,53507.23,881.69,114087.82,,,,conventional,BuffaloRochester
2022-01-10,1.669309281,15687.83,1347.09,124.47,0.0,14216.27,,,,organic,BuffaloRochester
2022-01-10,1.284474738,6192657.77,2760022.13,1402440.79,589395.59,1440799.27,,,,conventional,California
2022-01-10,1.948135102,268102.12,114451.41,31214.36,14.51,122421.85,,,,organic,California
2022-01-10,1.215315552,368090.41,168423.73,67064.84,6706.56,125895.28,,,,conventional,Charlotte
2022-01-10,1.479966694,25297.39,303.73,3343.03,16.94,21633.68,,,,organic,Charlotte
2022-01-10,1.422069847,800280.18,237023.73,218733.08,118984.44,225538.92,,,,conventional,Chicago
2022-01-10,1.685805996,41366.75,7092.27,16924.68,0.0,17349.8,,,,organic,Chicago
2022-01-10,0.928958343,353418.08,263761.69,53588.69,926.94,35140.76,,,,conventional,CincinnatiDayton
2022-01-10,1.950763557,13736.62,1467.92,9989.32,0.0,2279.39,,,,organic,CincinnatiDayton
2022-01-10,0.942107481,282642.77,210144.89,32386.83,1379.03,38732.02,,,,conventional,Columbus
2022-01-10,1.728216139,7932.52,1417.11,3634.55,0.0,2880.87,,,,organic,Columbus
2022-01-10,0.934756489,1310974.78,524767.36,346963.39,15440.08,423606.92,,,,conventional,DallasFtWorth
2022-01-10,1.482089461,47613.38,14808.36,1114.43,0.0,31690.58,,,,organic,DallasFtWorth
2022-01-10,1.188193178,941533.89,358120.37,269685.68,30026.75,283701.09,,,,conventional,Denver
2022-01-10,1.621156713,90275.17,80318.56,1696.89,89.12,8170.61,,,,organic,Denver
2022-01-10,0.931238696,541089.36,372594.8,58149.08,30604.51,79740.98,,,,conventional,Detroit
2022-01-10,1.385199485,20623.71,529.37,6099.21,0.0,13995.13,,,,organic,Detroit
