Current Year Week Ending,Geography,Timeframe,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,Elasticity,California Supplier,Unidades pequeñas,Unidades medianas,Unidades grandes,Unidades Aguacates en Bolsas,Total Unidades en Granel y Bolsas,tasa_consumo_interno_california,Quarter
2022-01-10,California,Weekly,Organic and Conventional,1.5498553965,6931099.15,3312690.24,1426780.66,597869.13,1593759.12,-2.5637535107861176,93645,17435211.789473686,2853561.32,948998.619047619,3187518.24,24425289.968521304,0.0230128214919695,2022Q1
2022-01-16,California,Weekly,Organic and Conventional,1.588347766,6574917.53,3390417.4000000004,1064559.32,477560.8,1642380.0,-3.274707894090217,561610,17844302.10526316,2129118.64,758033.0158730159,3284760.0,24016213.76113617,0.14036385738772952,2022Q1
2022-01-23,California,Weekly,Organic and Conventional,1.598995991,6562370.45,3205321.5700000003,1263424.14,583577.11,1510047.61,-0.9031585357164869,2995383,16870113.52631579,2526848.28,926312.873015873,3020095.22,23343369.899331663,0.77021826212132,2022Q1
2022-01-30,California,Weekly,Organic and Conventional,1.5240716195,7247391.11,3459725.8800000004,1483844.15,700556.9,1603264.19,-0.1412716182899183,5184868,18209083.57894737,2967688.3,1111995.0793650793,3206528.38,25495295.338312447,1.2206823356895082,2022Q1
2022-02-06,California,Weekly,Organic and Conventional,1.612582137,6524226.05,3270327.99,1098141.15,527319.89,1628437.02,-0.7773961254102882,5577043,17212252.57894737,2196282.3,837015.6984126985,3256874.04,23502424.617360067,1.4243487131356198,2022Q1
2022-02-13,California,Weekly,Organic and Conventional,1.5274666975,9317996.7,4242352.55,1628786.7100000002,866887.67,2579969.78,-2.478209007571391,4051727,22328171.315789472,3257573.4200000004,1376012.174603175,5159939.56,32121696.470392648,0.7571234619700372,2022Q1
2022-02-20,California,Weekly,Organic and Conventional,1.600973177,6758030.25,3385555.77,995042.33,768153.99,1609278.16,1.4934918989541446,7567540,17818714.57894737,1990084.66,1219292.0476190476,3218556.32,24246647.606566414,1.8733892660461666,2022Q1
2022-02-27,California,Weekly,Organic and Conventional,1.6453931515,6366037.8,2871112.5,1429678.52,551259.0,1513987.78,-3.3240803718770597,8065752,15111118.421052633,2859357.04,875014.2857142857,3027975.56,21873465.30676692,2.2133611145757857,2022Q1
2022-03-06,California,Weekly,Organic and Conventional,1.6542509315,5918030.91,3000145.7,846889.15,503668.8,1567327.25,24.63810190998912,7615250,15790240.52631579,1693778.3,799474.2857142857,3134654.5,21418147.61203008,2.1341614009556684,2022Q1
2022-03-13,California,Weekly,Organic and Conventional,1.6872119314999998,6598635.47,4033628.98,642307.85,476353.55,1446345.09,-6.999669118083075,8002957,21229626.210526317,1284615.7,756116.746031746,2892690.18,26163048.83655806,1.8360611212707847,2022Q1
