Current Year Week Ending,Geography,Timeframe,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,Elasticity,California Supplier
2022-01-10,California,Weekly,Organic and Conventional,1.5498553965,6931099.15,3312690.24,1426780.66,597869.13,1593759.1199999999,-2.5637535107861176,"93,645"
2022-01-16,California,Weekly,Organic and Conventional,1.588347766,6574917.53,3390417.4000000004,1064559.32,477560.8,1642380.0,-3.274707894090217,"561,610"
2022-01-23,California,Weekly,Organic and Conventional,1.598995991,6562370.45,3205321.5700000003,1263424.14,583577.11,1510047.61,-0.9031585357164869,"2,995,383"
2022-01-30,California,Weekly,Organic and Conventional,1.5240716195,7247391.11,3459725.8800000004,1483844.15,700556.9,1603264.19,-0.1412716182899183,"5,184,868"
2022-02-06,California,Weekly,Organic and Conventional,1.612582137,6524226.05,3270327.9899999998,1098141.15,527319.89,1628437.02,-0.7773961254102882,"5,577,043"
2022-02-13,California,Weekly,Organic and Conventional,1.5274666975,9317996.7,4242352.55,1628786.7100000002,866887.67,2579969.78,-2.478209007571391,"4,051,727"
2022-02-20,California,Weekly,Organic and Conventional,1.600973177,6758030.25,3385555.77,995042.33,768153.99,1609278.1600000001,1.4934918989541446,"7,567,540"
2022-02-27,California,Weekly,Organic and Conventional,1.6453931515,6366037.8,2871112.5,1429678.52,551259.0,1513987.78,-3.3240803718770593,"8,065,752"
2022-03-06,California,Weekly,Organic and Conventional,1.6542509315,5918030.91,3000145.7,846889.15,503668.8,1567327.25,24.638101909989118,"7,615,250"
2022-03-13,California,Weekly,Organic and Conventional,1.6872119314999998,6598635.47,4033628.98,642307.85,476353.55,1446345.0899999999,-6.999669118083075,"8,002,957"
2022-03-20,California,Weekly,Organic and Conventional,1.6772869605,6041096.569999999,3508661.36,456629.73,540186.94,1535618.54,0.613029196249135,"7,576,490"
2022-03-27,California,Weekly,Organic and Conventional,1.6995526105,6681907.83,4141707.4899999998,531703.53,522950.01,1485546.79,0.6342694693288273,"6,952,970"
2022-04-03,California,Weekly,Organic and Conventional,1.742892265,5996178.039999999,3392329.36,514643.55,547315.47,1541889.65,-2.604199428259817,"5,472,317"
2022-04-10,California,Weekly,Organic and Conventional,1.7725450125,6255838.08,3674289.1999999997,494867.04,510145.41,1576536.42,-168.39402266355987,"8,757,166"
2022-04-17,California,Weekly,Organic and Conventional,1.8044388765,6358828.07,3772020.21,589679.05,454381.06,1542747.75,-0.5193374800237398,"11,074,596"
2022-04-24,California,Weekly,Organic and Conventional,1.7683867665,6014502.42,3485713.1799999997,576716.29,422167.8,1529905.16,15.456957396037428,"13,582,443"
2022-05-01,California,Weekly,Organic and Conventional,1.7480378245000001,7602062.23,3858764.9400000004,712060.36,560003.66,2471233.26,-0.1391199605793938,"15,179,931"
2022-05-08,California,Weekly,Organic and Conventional,1.784792063,6547170.05,3676075.52,536803.02,651031.97,1683259.53,-1.5158822335841928,"14,357,970"
2022-05-15,California,Weekly,Organic and Conventional,1.8243178085,6360687.11,3965534.21,386271.8,536176.84,1472704.26,-0.9401766956532316,"12,408,200"
2022-05-22,California,Weekly,Organic and Conventional,1.8494114335000003,5659833.42,3347504.13,410365.67,419224.61,1482739.02,0.20816997517560454,"12,076,707"
2022-05-29,California,Weekly,Organic and Conventional,1.8768113325,5848357.4,3657655.0,418508.17,338693.71,1433500.52,-4.75731674662968,"13,654,702"
2022-06-05,California,Weekly,Organic and Conventional,1.8358624765,6066340.4799999995,3908092.4499999997,423231.75,312699.3,1422316.98,-2.3492823555805638,"9,778,625"
2022-06-12,California,Weekly,Organic and Conventional,1.8342305775,5875788.14,3425625.8800000004,487346.26,457750.16,1505065.86,-1.2243189708439424,"11,579,045"
2022-06-19,California,Weekly,Organic and Conventional,1.857480604,6201390.680000001,3694865.7899999996,454894.12,589551.85,1462078.93,-10.361586314413898,"11,341,954"
2022-06-26,California,Weekly,Organic and Conventional,1.8228689345,6257396.96,3839628.14,410578.73,551098.9199999999,1456091.1700000002,-1.524421570952129,"10,692,633"
2022-07-03,California,Weekly,Organic and Conventional,1.862831054,6161504.96,3615241.21,420235.38,630974.81,1495053.55,-1.3094384778903154,"11,415,143"
2022-07-10,California,Weekly,Organic and Conventional,1.8567121814999998,6133429.21,3523041.72,421925.57999999996,672301.36,1516160.54,-1.0886835224444456,"8,920,795"
2022-07-17,California,Weekly,Organic and Conventional,1.878975507,6509007.54,3902679.7,477535.76,625921.68,1502870.42,8.430664210776213,"9,133,156"
2022-07-24,California,Weekly,Organic and Conventional,1.854892409,6149985.3100000005,3594465.3800000004,420065.77,622201.2,1513252.97,0.2499824620606398,"6,484,828"
2022-07-31,California,Weekly,Organic and Conventional,1.8071370884999998,6442245.840000001,3904967.44,472833.58,558933.49,1505511.33,-0.9193436464201794,"4,243,337"
2022-08-07,California,Weekly,Organic and Conventional,1.8567591455,6654050.73,3933308.6,587075.48,608642.71,1525023.9500000002,0.6306812772097722,"2,357,179"
2022-08-14,California,Weekly,Organic and Conventional,1.7695559815,6192681.87,3569039.65,433012.72000000003,722253.6699999999,1468375.83,2.0091718702494465,"2,234,021"
2022-08-21,California,Weekly,Organic and Conventional,1.746004342,6180808.63,3375296.3,770373.55,661154.82,1373983.96,-1.3647898111681167,"2,082,533"
2022-08-28,California,Weekly,Organic and Conventional,1.6847782525000001,6467984.38,3921612.88,615481.34,601473.1499999999,1329417.02,-3.3993228883200675,"1,760,630"
2022-09-04,California,Weekly,Organic and Conventional,1.7355815175,6942087.4,4154790.98,661861.4199999999,767750.6900000001,1357684.33,-1.501641018952924,"1,365,900"
