Week Ending,Year,Status,Total Volume,California,Chile,Mexico,Peru,Colombia,Dominican Republic
"Jan 9, 2022",2022,Actual,"55,651,097","93,645",0,"54,732,452",0,"340,000","485,000"
"Jan 16, 2022",2022,Actual,"56,972,754","561,610","100,000","56,035,143",0,"100,000","176,000"
"Jan 23, 2022",2022,Actual,"60,960,294","2,995,383",0,"57,869,248",0,"95,663",
"Jan 30, 2022",2022,Actual,"59,674,481","5,184,868","440,000","53,858,286",0,"191,326",
"Feb 6, 2022",2022,Actual,"52,250,685","5,577,043","500,000","45,647,496",0,"526,146",
"Feb 13, 2022",2022,Actual,"29,846,440","4,051,727","440,000","24,206,759",0,"1,147,954",
"Feb 20, 2022",2022,Actual,"25,157,287","7,567,540","490,000","16,095,286",0,"1,004,460",
"Feb 27, 2022",2022,Actual,"58,271,839","8,065,752","1,310,000","48,178,614",0,"717,472",
"Mar 6, 2022",2022,Actual,"64,302,124","7,615,250","1,270,000","54,699,401",0,"717,472",
"Mar 13, 2022",2022,Actual,"56,975,164","8,002,957","940,000","47,793,049",0,"239,157",
"Mar 20, 2022",2022,Actual,"48,614,736","7,576,490","320,000","39,761,617",0,"956,629",
"Mar 27, 2022",2022,Actual,"40,100,200","6,952,970","660,000","32,010,186","142,223","334,820",
"Apr 3, 2022",2022,Actual,"46,317,735","5,472,317","750,000","39,730,490","221,434","143,494",
"Apr 10, 2022",2022,Actual,"52,081,268","8,757,166","180,000","42,523,988","189,630","430,483",
"Apr 17, 2022",2022,Actual,"33,205,122","11,074,596","90,000","21,667,046","134,322","239,157",
"Apr 24, 2022",2022,Actual,"62,749,382","13,582,443","100,000","48,592,013","379,261","95,663",
"May 1, 2022",2022,Actual,"57,919,043","15,179,931",0,"42,261,450","238,504","239,157",
"May 8, 2022",2022,Actual,"45,667,793","14,357,970",0,"29,731,474","573,888","1,004,460",
"May 15, 2022",2022,Actual,"42,380,249","12,408,200",0,"27,550,590","1,943,144","478,314",
"May 22, 2022",2022,Actual,"46,739,111","12,076,707",0,"30,561,240","3,383,691","717,471",
"May 29, 2022",2022,Actual,"49,573,999","13,654,702",0,"29,521,254","6,206,715","191,325",
"Jun 5, 2022",2022,Actual,"42,728,546","9,778,625",0,"23,460,062","8,772,387","717,471",
"Jun 12, 2022",2022,Actual,"40,662,330","11,579,045",0,"17,688,410","9,577,280","1,817,594",
"Jun 19, 2022",2022,Actual,"41,373,831","11,341,954",0,"14,697,048","13,182,414","2,152,414",
"Jun 26, 2022",2022,Actual,"47,400,444","10,692,633",0,"19,316,087","15,430,635","1,961,088",
"Jul 3, 2022",2022,Actual,"64,115,120","11,415,143",0,"33,109,370","16,529,394","3,061,211",
"Jul 10, 2022",2022,Actual,"58,169,999","8,920,795",0,"24,972,014","20,833,326","3,443,863",
"Jul 17, 2022",2022,Actual,"64,397,203","9,133,156",0,"31,718,757","21,058,054","2,487,234",
"Jul 24, 2022",2022,Actual,"48,700,110","6,484,828",0,"22,152,392","17,910,474","2,152,414",
"Jul 31, 2022",2022,Actual,"52,421,628","4,243,337",0,"26,763,669","19,884,014","1,530,605",
"Aug 7, 2022",2022,Actual,"60,783,239","2,357,179",0,"33,205,164","22,494,504","2,726,391",
"Aug 14, 2022",2022,Actual,"58,932,538","2,234,021",0,"35,789,688","20,813,165","95,662",
"Aug 21, 2022",2022,Actual,"55,789,973","2,082,533",0,"34,942,839","18,238,454","526,145",
"Aug 28, 2022",2022,Actual,"56,837,142","1,760,630",0,"38,907,808","16,025,209","143,494",
"Sep 4, 2022",2022,Actual,"57,086,709","1,365,900",0,"42,826,045","12,512,112","382,651",
"Sep 11, 2022",2022,Actual,"54,514,673","484,625",0,"45,495,387","8,391,166","143,494",
"Sep 18, 2022",2022,Actual,"48,034,844","455,125",0,"38,719,690","8,860,028",0,
"Sep 25, 2022",2022,Actual,"52,435,996","345,600",0,"46,780,257","5,310,138",0,
"Oct 2, 2022",2022,Actual,"55,752,139","345,600","380,661","50,837,675","4,082,752","105,450",
"Oct 9, 2022",2022,Actual,"56,596,176","14,400","472,721","53,786,126","2,275,096","47,831",
"Oct 16, 2022",2022,Actual,"46,626,933",0,"573,041","45,105,314","900,746","47,831",
"Oct 23, 2022",2022,Actual,"49,982,037",0,"751,152","49,000,406","94,815","95,663","40,000"
"Oct 30, 2022",2022,Actual,"54,684,203",0,"656,523","53,802,016",0,"95,663","130,000"
"Nov 6, 2022",2022,Actual,"53,028,972",0,"706,422","52,094,717",0,"47,831","180,000"
"Nov 13, 2022",2022,Actual,"60,778,909",0,"701,140","59,381,622",0,"526,145","170,000"
"Nov 20, 2022",2022,Actual,"45,218,148",0,"745,916","43,821,748",0,"430,482","220,000"
"Nov 27, 2022",2022,Actual,"37,983,552",0,"701,308","36,339,109",0,"813,134","130,000"
"Dec 4, 2022",2022,Actual,"49,643,306",0,"790,192","48,374,799",0,"239,157","239,157"
"Dec 11, 2022",2022,Actual,"54,782,744","239,157","506,842","53,667,587",0,"239,157","130,000"
"Dec 18, 2022",2022,Actual,"53,473,545",0,"506,842","52,511,882",0,"334,820","120,000"
"Dec 25, 2022",2022,Actual,"55,735,887",0,"193,971","55,071,915",0,"260,000","210,000"
"Jan 1, 2023",2022,Actual,"52,638,823",0,"365,405","52,013,417",0,"260,000",0
"Jan 8, 2023",2023,Actual,"50,679,360",0,"101,589","50,237,771",0,"210,000","130,000"
"Jan 15, 2023",2023,Actual,"57,517,543",0,"203,178","57,130,870",0,"143,494","40,000"
"Jan 22, 2023",2023,Actual,"71,067,972","73,850","50,794","70,101,518",0,"621,808","220,000"
"Jan 29, 2023",2023,Actual,"68,706,272","202,930","100,000","67,513,702",0,"669,640","220,000"
"Feb 5, 2023",2023,Actual,"61,752,009","163,025","100,000","60,737,174",0,"621,809","130,000"
"Feb 12, 2023",2023,Actual,"43,713,589","493,996",0,"42,836,941",0,"382,651",0
"Feb 19, 2023",2023,Actual,"54,983,549","771,052",0,"53,340,688",0,"621,808","250,000"
"Feb 26, 2023",2023,Actual,"55,300,240","528,320",0,"54,253,605",0,"478,314","40,000"
"Mar 5, 2023",2023,Actual,"64,151,583","305,633",0,"63,298,961",0,"286,988","260,000"
"Mar 12, 2023",2023,Actual,"66,239,702","1,424,850",0,"64,480,032",0,"334,820",0
"Mar 19, 2023",2023,Actual,"70,821,149","1,015,807",0,"69,489,679",0,"95,662","220,000"
