Geography,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units
Albany,Weekly,2024-11-10,Conventional,1.051510861,150876.19,59949.03,57926.42,214.68,32786.06
Albany,Weekly,2024-11-17,Conventional,1.051510861,150876.19,59949.03,57926.42,214.68,32786.06
Albany,Weekly,2024-11-24,Conventional,1.051510861,150876.19,59949.03,57926.42,214.68,32786.06
Albany,Weekly,2024-12-01,Conventional,1.051510861,150876.19,59949.03,57926.42,214.68,32786.06
Albany,Weekly,2024-12-08,Conventional,1.051510861,150876.19,59949.03,57926.42,214.68,32786.06
Albany,Weekly,2024-12-15,Conventional,1.051510861,150876.19,59949.03,57926.42,214.68,32786.06
Albany,Weekly,2024-12-22,Conventional,1.051510861,150876.19,59949.03,57926.42,214.68,32786.06
Albany,Weekly,2024-12-29,Conventional,1.051510861,150876.19,59949.03,57926.42,214.68,32786.06
Albany,Weekly,2024-11-10,Organic,1.525743817,5666.59,201.06,220.71,0.0,5244.82
Albany,Weekly,2024-11-17,Organic,1.525743817,5666.59,201.06,220.71,0.0,5244.82
Albany,Weekly,2024-11-24,Organic,1.525743817,5666.59,201.06,220.71,0.0,5244.82
Albany,Weekly,2024-12-01,Organic,1.525743817,5666.59,201.06,220.71,0.0,5244.82
Albany,Weekly,2024-12-08,Organic,1.525743817,5666.59,201.06,220.71,0.0,5244.82
Albany,Weekly,2024-12-15,Organic,1.525743817,5666.59,201.06,220.71,0.0,5244.82
Albany,Weekly,2024-12-22,Organic,1.525743817,5666.59,201.06,220.71,0.0,5244.82
Albany,Weekly,2024-12-29,Organic,1.525743817,5666.59,201.06,220.71,0.0,5244.82
Atlanta,Weekly,2024-11-10,Conventional,1.224725432,853600.62,504488.62,108086.32,26.77,240998.92
Atlanta,Weekly,2024-11-17,Conventional,1.224725432,853600.62,504488.62,108086.32,26.77,240998.92
Atlanta,Weekly,2024-11-24,Conventional,1.224725432,853600.62,504488.62,108086.32,26.77,240998.92
Atlanta,Weekly,2024-12-01,Conventional,1.224725432,853600.62,504488.62,108086.32,26.77,240998.92
Atlanta,Weekly,2024-12-08,Conventional,1.224725432,853600.62,504488.62,108086.32,26.77,240998.92
Atlanta,Weekly,2024-12-15,Conventional,1.224725432,853600.62,504488.62,108086.32,26.77,240998.92
Atlanta,Weekly,2024-12-22,Conventional,1.224725432,853600.62,504488.62,108086.32,26.77,240998.92
Atlanta,Weekly,2024-12-29,Conventional,1.224725432,853600.62,504488.62,108086.32,26.77,240998.92
Atlanta,Weekly,2024-11-10,Organic,1.914084676,35402.71,19.01,6783.45,0.0,28600.25
Atlanta,Weekly,2024-11-17,Organic,1.914084676,35402.71,19.01,6783.45,0.0,28600.25
Atlanta,Weekly,2024-11-24,Organic,1.914084676,35402.71,19.01,6783.45,0.0,28600.25
Atlanta,Weekly,2024-12-01,Organic,1.914084676,35402.71,19.01,6783.45,0.0,28600.25
Atlanta,Weekly,2024-12-08,Organic,1.914084676,35402.71,19.01,6783.45,0.0,28600.25
Atlanta,Weekly,2024-12-15,Organic,1.914084676,35402.71,19.01,6783.45,0.0,28600.25
Atlanta,Weekly,2024-12-22,Organic,1.914084676,35402.71,19.01,6783.45,0.0,28600.25
Atlanta,Weekly,2024-12-29,Organic,1.914084676,35402.71,19.01,6783.45,0.0,28600.25
Baltimore/Washington,Weekly,2024-11-10,Conventional,1.142699214,1185109.2,530680.27,158936.51,543.58,494948.83
Baltimore/Washington,Weekly,2024-11-17,Conventional,1.142699214,1185109.2,530680.27,158936.51,543.58,494948.83
Baltimore/Washington,Weekly,2024-11-24,Conventional,1.142699214,1185109.2,530680.27,158936.51,543.58,494948.83
Baltimore/Washington,Weekly,2024-12-01,Conventional,1.142699214,1185109.2,530680.27,158936.51,543.58,494948.83
Baltimore/Washington,Weekly,2024-12-08,Conventional,1.142699214,1185109.2,530680.27,158936.51,543.58,494948.83
Baltimore/Washington,Weekly,2024-12-15,Conventional,1.142699214,1185109.2,530680.27,158936.51,543.58,494948.83
Baltimore/Washington,Weekly,2024-12-22,Conventional,1.142699214,1185109.2,530680.27,158936.51,543.58,494948.83
Baltimore/Washington,Weekly,2024-12-29,Conventional,1.142699214,1185109.2,530680.27,158936.51,543.58,494948.83
Baltimore/Washington,Weekly,2024-11-10,Organic,1.566423399,109397.07,2233.75,9132.14,0.0,98031.18
Baltimore/Washington,Weekly,2024-11-17,Organic,1.566423399,109397.07,2233.75,9132.14,0.0,98031.18
Baltimore/Washington,Weekly,2024-11-24,Organic,1.566423399,109397.07,2233.75,9132.14,0.0,98031.18
Baltimore/Washington,Weekly,2024-12-01,Organic,1.566423399,109397.07,2233.75,9132.14,0.0,98031.18
Baltimore/Washington,Weekly,2024-12-08,Organic,1.566423399,109397.07,2233.75,9132.14,0.0,98031.18
Baltimore/Washington,Weekly,2024-12-15,Organic,1.566423399,109397.07,2233.75,9132.14,0.0,98031.18
Baltimore/Washington,Weekly,2024-12-22,Organic,1.566423399,109397.07,2233.75,9132.14,0.0,98031.18
Baltimore/Washington,Weekly,2024-12-29,Organic,1.566423399,109397.07,2233.75,9132.14,0.0,98031.18
Birmingham/Montgomery,Weekly,2024-11-10,Conventional,1.059770012,354736.38,232442.89,7979.3,40.47,114273.72
